序号,入点,出点,时长,主标题,副标题,画面（动的是什么）,色场,转场,素材,取窗/来源,音效,素材状态
01,0.0,4.0,4.0,十六路直播，不必开十六个窗口,DD监控室CE 专为 DD 设计的多窗口监控工具,黑场里墙已经在播；标题在上方压上来；极缓推近 1.00→1.03,黑场 #0d0e10,cut,assets/rec-layout-bigplus.mp4,59–67（1+5 稳定段）,whoosh-short（标题进场）,复用
02,4.0,10.0,6.0,同上（第二行瞬时替换）,同上,标题落定；墙压暗到 0.28 退成底；落定后完全静止,暗场 #222428,blur-crossfade,assets/rec-layout-bigplus.mp4,59–67,whoosh-short（每次字替）+ impact-bass-1,复用
03,10.0,14.5,4.5,想怎么看，就怎么排,平分布局,单窗口播放 + 模拟点击动效（光标按布局按钮、菜单弹出）→ 画面分裂成左右两分,B站蓝 #00a1d6,zoom-through,assets/rec-layout-1to2.mp4,需录：1x1 → 左右两分,click-soft（chip 换形）+ whoosh-short（裂开那一下）,需新录
04,14.5,18.0,3.5,（承接不换标题）,（承接）,左右两分 → 四分（先后两刀）,B站蓝 #00a1d6,crossfade,assets/rec-layout-1to4.mp4,13–21 的 2x2 段,click-soft + whoosh-short,部分复用
05,18.0,21.5,3.5,九路同屏，一眼看全,单画面 两分 四分 六分 九分,四分 → 九分；九格全亮,B站蓝 #00a1d6,crossfade,assets/rec-layout-9grid.mp4,33–42,click-soft（逐级）+ whoosh-short（铺满）,复用（先逐格确认都在播）
06,21.5,25.5,4.0,主画面不动，小画面环绕,1 + 5 主画面加五小,九分 → 1+5：主画面钉死左上不动，五小依次归位,B站蓝 #00a1d6,push-slide LEFT,assets/rec-layout-bigplus.mp4,59–67,click-soft（chip 换 1+5）+ pop（五小一声一格）,复用
07,25.5,32.0,6.5,弹幕跟着主画面走,1 + 1 + 弹幕,在 1+5 上换成同布局弹幕版；镜头推近弹幕格给聚焦（约 1.15）；弹幕一直滚,B站蓝 #00a1d6,push-slide LEFT,assets/rec-layout-danmaku.mp4,需录：1+5 → 主画面+小+弹幕,click-soft（chip）+ whoosh-short（弹幕格成形）+ typing,需新录（同布局弹幕版）
08,32.0,38.5,6.5,拖成竖的，它自己接上,按能放几路 自动对映最相似的预设,动态切换成竖屏：16:9 连续变 9:16；内部重排（侧栏消失、顶部横栏出现）；一镜到底,暗场 #222428,zoom-through,assets/rec-portrait-flip.mp4,96–122,whoosh-cinematic（起手）+ riser（重排 0.6s）+ impact-bass-1,复用
09,38.5,41.0,2.5,（承接）,（承接）,竖屏布局横向滑出画面；匀速干脆,暗场 #222428,cut,assets/rec-portrait-slideout.mp4,需录：竖屏窗口移出画框,whoosh-cinematic,需新录
10,41.0,42.0,1.0,（无字）,—,一记硬切回横屏 1+5（形态承 06）,暗场 #222428,cut,assets/rec-layout-bigplus.mp4,59–67,impact-bass-1,复用
11,42.0,46.0,4.0,悬停就能预览,开播提醒 置顶 拖动排序 导入关注,推近左侧关注栏一个在播直播间：悬停 → 封面预览卡弹出,近白场 #f1f2f5,push-slide LEFT,assets/rec-follow-list.mp4,127–143,click-soft（悬停）+ pop（预览卡）,复用（裁左侧关注栏）
12,46.0,53.5,7.5,这一路放左边 这一路放右边,每路独立左右声道路由,收回镜头分出左右两个画面（两个不同直播间）：左路只播左声道、右路只播右声道；声波左先右后停在峰值,近白场 #f1f2f5,push-slide LEFT,assets/rec-channel-route.mp4,需录：两路分别设左/右声道后分屏,whoosh-short（进）+ ping（左落）+ ping（右落 音高不同）,需新录（两路不同直播间）
13,53.5,56.5,3.0,断了自己连回来,断流重连 画面卡死检测,顺着分屏：其中一路黑掉、角标转琥珀「重连中…」→ 自己回来（不真演断流 字幕带过）,暗场 #222428,crossfade,assets/rec-reconnect.mp4,合成（现有画面 + 角标）,error（断）+ riser（1.2s）+ chime（回来）,需合成
14,56.5,60.0,3.5,（新文案待定）,plugins_user/名字/plugin.py,真机截图压暗 0.22 铺底；目录树逐行展开；danmaku_log/ 与 _template_platform/ 先后点亮；末尾 0.5s 整体压暗收片,暗场 #222428,blur-crossfade,assets/overview2_Landscape_mode.png,静帧,typing（逐行）+ click-soft ×2,复用
